Date,Open,High,Low,Close,Adj Close,Volume,DayN,Year,Month,Date,Day
02/01/2020,7171.649902,7327.689941,7171.649902,7314.939941,7314.939941,12513300,1,2020,1,2,3
03/01/2020,7314.390137,7314.390137,7186.080078,7242.089844,7242.089844,12690200,2,2020,1,3,4
06/01/2020,7242.419922,7242.419922,7086.930176,7210.640137,7210.640137,16800100,3,2020,1,6,0
07/01/2020,7213.799805,7262.009766,7209.959961,7246.529785,7246.529785,21784500,4,2020,1,7,1
08/01/2020,7238.180176,7238.180176,7173.660156,7211.870117,7211.870117,22861300,5,2020,1,8,2
09/01/2020,7216.310059,7278.799805,7216.310059,7249.620117,7249.620117,22618300,6,2020,1,9,3
10/01/2020,7258.22998,7385.529785,7257.100098,7274.189941,7274.189941,31111700,7,2020,1,10,4
13/01/2020,7274.279785,7296.319824,7230.47998,7242.209961,7242.209961,13853400,8,2020,1,13,0
14/01/2020,7236.47998,7269.22998,7183.589844,7249.220215,7249.220215,28703100,9,2020,1,14,1
15/01/2020,7238.529785,7250.450195,7169.879883,7169.879883,7169.879883,22863800,10,2020,1,15,2
16/01/2020,7169.319824,7195.180176,7139.569824,7156.859863,7156.859863,19654900,11,2020,1,16,3
17/01/2020,7157.629883,7217.029785,7157.629883,7194.5,7194.5,39452400,12,2020,1,17,4
20/01/2020,7199.850098,7210.77002,7170.850098,7184.640137,7184.640137,22483200,13,2020,1,20,0
21/01/2020,7185.430176,7185.430176,7125.359863,7139.850098,7139.850098,49751500,14,2020,1,21,1
22/01/2020,7139.390137,7193.430176,7129.439941,7170.459961,7170.459961,29486300,15,2020,1,22,2
23/01/2020,7169.890137,7186.439941,7112.649902,7120.669922,7120.669922,25288000,16,2020,1,23,3
24/01/2020,7119.600098,7220.790039,7119.600098,7180.799805,7180.799805,25461000,17,2020,1,24,4
27/01/2020,7177.919922,7177.919922,7015.990234,7056.029785,7056.029785,33724100,18,2020,1,27,0
28/01/2020,7056.97998,7095.850098,6982.689941,7078.299805,7078.299805,20809400,19,2020,1,28,1
29/01/2020,7076.660156,7171.580078,7076.660156,7169.25,7169.25,29590200,20,2020,1,29,2
30/01/2020,7167.040039,7167.040039,7060.299805,7078.77002,7078.77002,25462300,21,2020,1,30,3
31/01/2020,7078.25,7130.720215,6981.959961,6998.200195,6998.200195,23282700,22,2020,1,31,4
03/02/2020,7011.569824,7103.149902,7010.790039,7097.509766,7097.509766,25434200,23,2020,2,3,0
04/02/2020,7100.850098,7160.220215,7089.600098,7134.419922,7134.419922,55456400,24,2020,2,4,1
05/02/2020,7126.310059,7256.22998,7117.060059,7199.290039,7199.290039,28888900,25,2020,2,5,2
06/02/2020,7209.319824,7234.910156,7162.790039,7187.169922,7187.169922,37338300,26,2020,2,6,3
07/02/2020,7189.149902,7189.149902,7095.560059,7151.470215,7151.470215,22623600,27,2020,2,7,4
10/02/2020,7152.25,7155.430176,7048.509766,7065.529785,7065.529785,42760700,28,2020,2,10,0
11/02/2020,7065.509766,7159.319824,7065.509766,7157.669922,7157.669922,39625100,29,2020,2,11,1
12/02/2020,7156.240234,7207.330078,7132.310059,7204.970215,7204.970215,44479900,30,2020,2,12,2
13/02/2020,7193.040039,7193.040039,7102.839844,7165.700195,7165.700195,41061900,31,2020,2,13,3
14/02/2020,7155.009766,7207.069824,7155.009766,7171.100098,7171.100098,19519300,32,2020,2,14,4
17/02/2020,7170.5,7209.419922,7133.160156,7157.209961,7157.209961,11044600,33,2020,2,17,0
18/02/2020,7158.109863,7201.009766,7118.529785,7155.879883,7155.879883,26072700,34,2020,2,18,1
19/02/2020,7156.410156,7266.200195,7156.410156,7255.140137,7255.140137,38063400,35,2020,2,19,2
20/02/2020,7254.490234,7283.060059,7212.049805,7235.629883,7235.629883,26321900,36,2020,2,20,3
21/02/2020,7235.27002,7266.959961,7174.600098,7240.189941,7240.189941,19370000,37,2020,2,21,4
24/02/2020,7240.189941,7240.189941,6913.310059,6925.189941,6925.189941,31325300,38,2020,2,24,0
25/02/2020,6925.379883,7002.209961,6826.959961,6827.310059,6827.310059,31123500,39,2020,2,25,1
26/02/2020,6828.140137,6865.319824,6611.609863,6832.109863,6832.109863,39445000,40,2020,2,26,2
27/02/2020,6828.779785,6828.779785,6476.629883,6569.600098,6569.600098,44744000,41,2020,2,27,3
28/02/2020,6566.959961,6566.959961,6327.029785,6397.370117,6397.370117,68268500,42,2020,2,28,4
02/03/2020,6394.189941,6528.100098,6297.609863,6387.52002,6387.52002,49694800,43,2020,3,2,0
03/03/2020,6389.109863,6608.459961,6389.109863,6486.689941,6486.689941,55136600,44,2020,3,3,1
04/03/2020,6487.149902,6578.870117,6486.509766,6538.600098,6538.600098,41561800,45,2020,3,4,2
05/03/2020,6548.129883,6599.040039,6398.939941,6447.680176,6447.680176,53466300,46,2020,3,5,3
06/03/2020,6401.950195,6401.950195,6187.589844,6266.529785,6266.529785,104295700,47,2020,3,6,4
09/03/2020,6264.72998,6265.109863,5848.419922,5864.700195,5864.700195,46280100,48,2020,3,9,0
10/03/2020,5870.5,6113.939941,5787.529785,5826.649902,5826.649902,51593100,49,2020,3,10,1
11/03/2020,5825.97998,5944.859863,5687.430176,5691.439941,5691.439941,45681000,50,2020,3,11,2
12/03/2020,5689.970215,5689.970215,5081.450195,5125.939941,5125.939941,75187500,51,2020,3,12,3
13/03/2020,5126.899902,5481.009766,5099.529785,5148.430176,5148.430176,60895600,52,2020,3,13,4
16/03/2020,5147.149902,5147.149902,4507.970215,4740.390137,4740.390137,63162700,53,2020,3,16,0
17/03/2020,4740.549805,4860.799805,4500.720215,4731.850098,4731.850098,61604300,54,2020,3,17,1
18/03/2020,4731.279785,4731.279785,4300.220215,4366.529785,4366.529785,71008200,55,2020,3,18,2
19/03/2020,4368.200195,4465.529785,4273.040039,4432.009766,4432.009766,56936100,56,2020,3,19,3
20/03/2020,4433.149902,4783.839844,4433.149902,4603.870117,4603.870117,92540400,57,2020,3,20,4
23/03/2020,4597.930176,4597.930176,4249.919922,4470.970215,4470.970215,63187400,58,2020,3,23,0
24/03/2020,4486.120117,4781.290039,4486.120117,4781.290039,4781.290039,57201500,59,2020,3,24,1
25/03/2020,4787.959961,5080.120117,4775.700195,4970.209961,4970.209961,57412200,60,2020,3,25,2
26/03/2020,4970.049805,5196.709961,4886.299805,5196.709961,5196.709961,43947600,61,2020,3,26,3
27/03/2020,5176.899902,5176.899902,4887.47998,4916.399902,4916.399902,39402800,62,2020,3,27,4
30/03/2020,4915.600098,4959.160156,4753.040039,4943.359863,4943.359863,36522200,63,2020,3,30,0
31/03/2020,4966.959961,5153.649902,4966.959961,5153.649902,5153.649902,103081600,64,2020,3,31,1
01/04/2020,5138.910156,5138.910156,4938.410156,4990.97998,4990.97998,45693700,65,2020,4,1,2
02/04/2020,4993.140137,5024.120117,4864.209961,4880.109863,4880.109863,40820700,66,2020,4,2,3
03/04/2020,4877.790039,4902.47998,4771.779785,4784.669922,4784.669922,77709600,67,2020,4,3,4
06/04/2020,4787.890137,5022.830078,4787.890137,5017.089844,5017.089844,37128400,68,2020,4,6,0
07/04/2020,5017.72998,5260.419922,5017.72998,5115,5115,50750000,69,2020,4,7,1
08/04/2020,5115.029785,5125.5,5041.560059,5109.839844,5109.839844,36168900,70,2020,4,8,2
09/04/2020,5109.839844,5314.169922,5109.839844,5289.180176,5289.180176,46729500,71,2020,4,9,3
14/04/2020,5304.740234,5317.140137,5160.470215,5183.339844,5183.339844,46005400,72,2020,4,14,1
15/04/2020,5183.569824,5183.569824,4966.540039,4970.390137,4970.390137,57179400,73,2020,4,15,2
16/04/2020,4971.129883,5113.910156,4971.129883,5082.990234,5082.990234,69043300,74,2020,4,16,3
17/04/2020,5093.990234,5321.930176,5093.990234,5277.52002,5277.52002,42643300,75,2020,4,17,4
20/04/2020,5277.52002,5330.790039,5218.589844,5235.490234,5235.490234,47451300,76,2020,4,20,0
21/04/2020,5234.490234,5234.490234,5113.72998,5120.600098,5120.600098,30362300,77,2020,4,21,1
22/04/2020,5120.740234,5264.339844,5120.740234,5232.330078,5232.330078,42795400,78,2020,4,22,2
23/04/2020,5239.839844,5275.759766,5190.220215,5262.609863,5262.609863,53358700,79,2020,4,23,3
24/04/2020,5263.339844,5354.22998,5192.180176,5294.950195,5294.950195,34558200,80,2020,4,24,4
27/04/2020,5295.529785,5442.319824,5295.529785,5393.27002,5393.27002,28582300,81,2020,4,27,0
28/04/2020,5398.52002,5507.080078,5387.47998,5481.109863,5481.109863,36484800,82,2020,4,28,1
29/04/2020,5480.939941,5693.189941,5480.069824,5687.359863,5687.359863,43402800,83,2020,4,29,2
30/04/2020,5708.819824,5805.200195,5572.790039,5603,5603,39631100,84,2020,4,30,3
04/05/2020,5602.75,5602.75,5379.149902,5386.490234,5386.490234,38867400,85,2020,5,4,0
05/05/2020,5386.560059,5484.390137,5371.810059,5379.689941,5379.689941,35362600,86,2020,5,5,1
06/05/2020,5384.140137,5399.990234,5298.040039,5308.810059,5308.810059,33896000,87,2020,5,6,2
07/05/2020,5322.149902,5455.060059,5322.149902,5423.779785,5423.779785,33784800,88,2020,5,7,3
08/05/2020,5423.990234,5554.569824,5423.990234,5507.649902,5507.649902,13225000,89,2020,5,8,4
11/05/2020,5507.649902,5558.660156,5404.25,5412.080078,5412.080078,65866900,90,2020,5,11,0
12/05/2020,5412.660156,5451.330078,5373.02002,5391.569824,5391.569824,52872700,91,2020,5,12,1
13/05/2020,5391.180176,5391.180176,5306.009766,5325.200195,5325.200195,51585500,92,2020,5,13,2
14/05/2020,5320.52002,5325.029785,5145.430176,5277.97998,5277.97998,43226700,93,2020,5,14,3
15/05/2020,5278.5,5360.419922,5238.879883,5279.259766,5279.259766,52468500,94,2020,5,15,4
18/05/2020,5279.259766,5597.27002,5279.259766,5595.060059,5595.060059,31132400,95,2020,5,18,0
19/05/2020,5602,5681.339844,5526.959961,5582.580078,5582.580078,36354100,96,2020,5,19,1
20/05/2020,5582.580078,5652.149902,5499.680176,5652.149902,5652.149902,31009200,97,2020,5,20,2
21/05/2020,5652.149902,5705.669922,5567.319824,5629.310059,5629.310059,28545600,98,2020,5,21,3
22/05/2020,5629.540039,5675.029785,5556.97998,5652.830078,5652.830078,30408800,99,2020,5,22,4
25/05/2020,5652.870117,5725.859863,5639.649902,5722.569824,5722.569824,11749800,100,2020,5,25,0
